State,Pop
California,39613500
Texas,29730300
Florida,21944600
New York,19300000
Pennsylvania,12804100
Illinois,12569300
Ohio,11714600
Georgia,10830000
North Carolina,10701000
Michigan,9992430
New Jersey,8874520
Virginia,8603980
Washington,7796940
Arizona,7520100
Tennessee,6944260
Massachusetts,6912240
Indiana,6805660
Missouri,6169040
Maryland,6065440
Colorado,5893630
Wisconsin,5852490
Minnesota,5706400
South Carolina,5277830
Alabama,4934190
Louisiana,4627000
Kentucky,4480710
Oregon,4289440
Oklahoma,3990440
Connecticut,3552820
Utah,3310770
Puerto Rico,3194370
Nevada,3185790
Iowa,3167970
Arkansas,3033950
Mississippi,2966410
Kansas,2917220
New Mexico,2105000
Nebraska,1952000
Idaho,1860120
West Virginia,1767860
Hawaii,1406430
New Hampshire,1372200
Maine,1354520
Montana,1085000
Rhode Island,1061510
Delaware,990334
South Dakota,896581
North Dakota,770026
Alaska,724357
District of Columbia,714153
Vermont,623251
Wyoming,581075
